"","Depth","Yearmarker","YEsin","YEweight","YEcount","YE18O","YEcombined","peakid"
"1",2e+05,1,0.518752451392997,0,0,0,0.147689873250841,0
"2",3e+05,0,0.492855398400798,0,0,0,0.139553404157384,0
"3",4e+05,0,0.447805937706099,0,0,0,0.125399533262122,0
"4",5e+05,0,0.42855242069307,0,0,0,0.119350364417928,0
"5",6e+05,0,0.421710800036975,0,0,0,0.117200828907681,0
"6",7e+05,0,0.423819641310335,0,0,0.014529091286974,0.122428219997199,0
"7",8e+05,0,0.421552247026093,0,0,0.125744625914449,0.156658106191562,0
"8",9e+05,0,0.431370087073451,0,0.166666666666667,0.322697556478732,0.273986597880176,0
"9",1e+06,0,0.451463818815962,0,0.291666666666667,0.560268340127662,0.39421410035249,0
"10",1100000,0,0.478175006962567,0,0.333333333333333,0.784032373365578,0.486000738922861,0
"11",1200000,0,0.520181792467949,0,0.333333333333333,0.942728012826605,0.549058457429018,0
"12",1300000,0,0.586901493099357,0,0.333333333333333,1,0.588014802615216,0
"13",1400000,1,0.71959545201972,0.0416666666666667,0.333333333333333,0.942728012826605,0.624802312295739,0
"14",1500000,0,0.716510791371652,0,0.375,0.784032373365578,0.573973346846875,0
"15",1600000,0,0.660129794389798,0,0.375,0.560268340127662,0.485955942675233,0
"16",1700000,0,0.582476387301253,0,0.375,0.322697556478732,0.386917187716585,0
"17",1800000,0,0.495698148516503,0,0.416666666666667,0.12574462591445,0.310864119234566,0
"18",1900000,0,0.475273921851414,0,0.416666666666667,0.0145290912869741,0.269504863046239,0
"19",2e+06,0,0.455218780196699,0,0.416666666666667,0,0.258639011146576,0
"20",2100000,0,0.463884624095168,0,0.291666666666667,0,0.222088548593224,0
"21",2200000,0,0.489524434928802,0,0.208333333333333,0,0.203962101431345,0
"22",2300000,0,0.494645558336486,0,0.25,0,0.218662129577628,0
"23",2400000,0,0.526749849627187,0,0.416666666666667,0,0.281113009860577,0
"24",2500000,0,0.587072452551245,0.125,0.416666666666667,0,0.3393386169003,0
"25",2600000,0,0.718859515159056,0.152777777777778,0.416666666666667,0,0.38947151783659,0
"26",2700000,1,0.772878278951111,0.111111111111111,0.375,0.95048443395121,0.678889396150904,1
"27",2800000,0,0.751550186177888,0.152777777777778,0.375,0.811744900929367,0.641689574809298,0
"28",2900000,0,0.632921574037998,0,0.375,0.611260466978157,0.493428492552109,0
"29",3e+06,0,0.493191924399841,0,0.333333333333333,0.388739533021843,0.366523696703177,0
"30",3100000,0,0.463761159742474,0,0.333333333333333,0.188255099070633,0.294287758963147,0
"31",3200000,0,0.447697907420067,0,0.333333333333333,0.0495155660487905,0.245651024933449,0
"32",3300000,0,0.455626420571989,0,0.291666666666667,0,0.21949394380348,0
