D,d18Oc,YEARMARKER,D_err,d18Oc_err
49250,-1.429,0,100,0.14
49450,-1.261,0,100,0.14
49650,-1.464,0,100,0.14
50050,-1.577,0,200,0.14
50250,-1.687,0,100,0.14
50450,-1.572,0,100,0.14
50650,-1.53,0,100,0.14
50850,-1.54,0,100,0.14
51050,-1.404,0,100,0.14
51250,-1.309,0,100,0.14
51450,-1.189,0,100,0.14
51650,-1.004,0,100,0.14
51850,-0.662,0,100,0.14
52050,-0.516,0,100,0.14
52250,-0.374,1,100,0.14
52450,-0.515,0,100,0.14
52650,-0.953,0,100,0.14
52850,-1.121,0,100,0.14
53050,-1.552,0,100,0.14
53250,-1.498,0,100,0.14
53450,-1.534,0,100,0.14
53650,-1.574,0,100,0.14
53850,-1.704,0,100,0.14
54050,-1.625,0,100,0.14
54250,-1.657,0,100,0.14
54450,-1.613,0,100,0.14
54650,-1.594,0,100,0.14
54850,-1.185,0,100,0.14
55050,-1.255,0,100,0.14
55250,-1.137,0,100,0.14
55450,-1.031,0,100,0.14
55650,-0.721,0,100,0.14
55850,-0.523,0,100,0.14
56050,-0.332,1,100,0.14
56250,-0.606,0,100,0.14
56450,-1.149,0,100,0.14
56650,-1.505,0,100,0.14
56850,-1.505,0,100,0.14
57050,-1.608,0,100,0.14
57250,-1.715,0,100,0.14
57450,-1.607,0,100,0.14
57650,-1.658,0,100,0.14
57850,-1.615,0,100,0.14
58050,-1.587,0,100,0.14
58250,-1.576,0,100,0.14
58450,-1.454,0,100,0.14
58650,-1.34,0,100,0.14
58850,-1.075,0,100,0.14
59050,-0.701,0,100,0.14
59250,-0.687,0,100,0.14
59450,-0.43,1,100,0.14
59650,-0.665,0,100,0.14
59850,-1.327,0,100,0.14
60000,-1.746,0,75,0.14
60150,-1.738,0,75,0.14
60300,-1.729,0,75,0.14
60450,-1.685,0,75,0.14
60600,-1.685,0,75,0.14
60750,-1.656,0,75,0.14
60900,-1.637,0,75,0.14
61050,-1.752,0,75,0.14
61200,-1.696,0,75,0.14
61350,-1.769,0,75,0.14
61500,-1.73,0,75,0.14
61650,-1.68,0,75,0.14
61800,-1.53,0,75,0.14
61950,-1.551,0,75,0.14
62100,-1.384,0,75,0.14
62250,-1.396,0,75,0.14
62400,-1.265,0,75,0.14
62550,-0.934,0,75,0.14
62700,-0.661,0,75,0.14
62850,-0.537,1,75,0.14
63000,-0.675,0,75,0.14
63150,-1.058,0,75,0.14
63300,-1.294,0,75,0.14
63450,-1.531,0,75,0.14
63600,-1.637,0,75,0.14
63750,-1.788,0,75,0.14
63900,-1.739,0,75,0.14
64050,-1.835,0,75,0.14
64200,-1.781,0,75,0.14
64350,-1.742,0,75,0.14
64500,-1.779,0,75,0.14
64650,-1.697,0,75,0.14
64800,-1.727,0,75,0.14
64950,-1.675,0,75,0.14
65100,-1.696,0,75,0.14
65250,-1.599,0,75,0.14
65400,-1.372,0,75,0.14
65550,-1.066,0,75,0.14
65700,-0.693,0,75,0.14
65850,-0.373,1,75,0.14
66000,-0.575,0,75,0.14
66150,-0.75,0,75,0.14
66300,-1.143,0,75,0.14
66450,-1.384,0,75,0.14
66600,-1.455,0,75,0.14
66750,-1.492,0,75,0.14
66900,-1.572,0,75,0.14
67050,-1.558,0,75,0.14
67200,-1.489,0,75,0.14
67350,-1.511,0,75,0.14
67500,-1.499,0,75,0.14
67650,-1.594,0,75,0.14
67800,-1.636,0,75,0.14
67950,-1.732,0,75,0.14
68100,-1.695,0,75,0.14
68250,-1.539,0,75,0.14
68400,-1.341,0,75,0.14
68550,-1.212,0,75,0.14
68700,-1.051,0,75,0.14
68850,-0.875,0,75,0.14
69000,-0.637,0,75,0.14
69150,-0.279,1,75,0.14
69300,-0.45,0,75,0.14
69450,-1.113,0,75,0.14
69600,-1.434,0,75,0.14
69750,-1.635,0,75,0.14
69900,-1.652,0,75,0.14
70050,-1.686,0,75,0.14
70200,-1.602,0,75,0.14
70350,-1.612,0,75,0.14
70500,-1.479,0,75,0.14
70650,-1.349,0,75,0.14
70800,-1.34,0,75,0.14
70950,-1.276,0,75,0.14
71100,-1.179,0,75,0.14
71250,-0.957,0,75,0.14
71400,-1.022,0,75,0.14
71550,-1.005,0,75,0.14
71700,-0.985,0,75,0.14
71850,-0.861,0,75,0.14
72000,-0.814,1,75,0.14
72150,-0.865,0,75,0.14
72300,-0.932,0,75,0.14
72450,-1.113,0,75,0.14
72600,-1.283,0,75,0.14
72750,-1.189,0,75,0.14
72900,-1.474,0,75,0.14
73050,-1.452,0,75,0.14
73200,-1.431,0,75,0.14
73350,-1.415,0,75,0.14
73500,-1.535,0,75,0.14
73650,-1.606,0,75,0.14
73800,-1.565,0,75,0.14
73950,-1.688,0,75,0.14
74100,-1.716,0,75,0.14
74250,-1.695,0,75,0.14
74400,-1.591,0,75,0.14
74550,-1.615,0,75,0.14
74700,-1.49,0,75,0.14
74850,-1.299,0,75,0.14
75000,-0.917,0,75,0.14
75150,-0.779,0,75,0.14
75300,-0.614,0,75,0.14
75450,-0.549,0,75,0.14
75600,-0.507,1,75,0.14
75750,-0.924,0,75,0.14
75900,-1.36,0,75,0.14
76050,-1.559,0,75,0.14
76200,-1.732,0,75,0.14
76350,-1.608,0,75,0.14
76500,-1.722,0,75,0.14
76650,-1.558,0,75,0.14
76800,-1.489,0,75,0.14
76950,-1.453,0,75,0.14
77100,-1.532,0,75,0.14
77250,-1.436,0,75,0.14
77400,-1.631,0,75,0.14
77550,-1.602,0,75,0.14
77700,-1.518,0,75,0.14
77850,-1.232,0,75,0.14
78000,-1.112,0,75,0.14
78150,-0.934,0,75,0.14
78300,-0.728,0,75,0.14
78450,-0.346,1,75,0.14
78600,-0.483,0,75,0.14
78750,-0.305,0,75,0.14
78900,-1.688,0,75,0.14
79050,-1.148,0,75,0.14
79200,-1.426,0,75,0.14
79350,-1.834,0,75,0.14
79500,-1.296,0,75,0.14
79650,-1.382,0,75,0.14
79800,-1.409,0,75,0.14
79950,-1.57,0,75,0.14
80100,-1.713,0,75,0.14
80250,-1.675,0,75,0.14
80400,-1.67,0,75,0.14
80550,-1.672,0,75,0.14
80700,-1.519,0,75,0.14
80850,-1.376,0,75,0.14
81000,-1.173,0,75,0.14
81150,-1.244,0,75,0.14
81300,-0.966,0,75,0.14
81450,-0.866,0,75,0.14
81600,-0.694,0,75,0.14
81750,-0.357,1,75,0.14
81900,-0.42,0,75,0.14
82050,-0.802,0,75,0.14
82200,-1.192,0,75,0.14
82350,-1.374,0,75,0.14
82500,-1.495,0,75,0.14
82650,-1.547,0,75,0.14
82800,-1.854,0,75,0.14
82950,-1.531,0,75,0.14
83100,-1.53,0,75,0.14
83250,-1.313,0,75,0.14
83400,-1.51,0,75,0.14
83550,-1.35,0,75,0.14
83700,-1.215,0,75,0.14
83850,-1.121,0,75,0.14
84000,-1.044,0,75,0.14
84150,-0.919,0,75,0.14
84300,-0.758,0,75,0.14
84450,-0.327,1,75,0.14
84600,-0.405,0,75,0.14
84750,-0.734,0,75,0.14
84900,-1.442,0,75,0.14
