"","D","mean.SST","sd.SST","N","se.SST","CL95.SST"
"1",0,16.7348840983532,NA,1,NA,NA
"2",200,18.3748452786682,0.290072659257611,2,0.205112344397872,0.598925087994333
"3",400,19.1817439922701,0.507527220152078,3,0.293020977175865,0.68958485331558
"4",600,19.9627888051627,1.03523411237034,4,0.517617056185169,1.10348025777621
"5",800,20.9684874953591,0.393559277197974,5,0.17600505939807,0.354658708638464
"6",1000,21.6537139164464,0.256376800260887,6,0.104665390421103,0.203383722718722
"7",1200,21.4354999473428,1.33669873319517,7,0.505224632264216,0.957187779052249
"8",1400,19.7720092040852,1.04507376151018,8,0.36948937180199,0.687083236222914
"9",1600,19.4271957748041,0.488303682924439,9,0.162767894308146,0.298371932077486
"10",1800,18.7776348889295,0.653086816599916,10,0.20652418502844,0.374317056284412
"11",2000,18.4549611567578,0.405934974923156,10,0.128367910268051,0.23266184677742
"12",2200,18.9046984795085,0.714550918118082,10,0.225960840541762,0.409545238759791
"13",2400,20.7530586842605,0.795200703783385,10,0.251464542092437,0.455769706308182
"14",2600,22.3828556635245,0.644922799623689,10,0.203942496178324,0.369637845612381
"15",2800,22.4606881690549,0.299777577818948,10,0.0947979937356247,0.171817678166365
"16",3000,22.215385758389,0.36345910151607,10,0.114935859710914,0.208316777342968
"17",3200,21.4277059158201,0.616723713865797,10,0.195025162285389,0.353475524612305
"18",3400,20.1026255049675,0.841604459082377,10,0.266138697965429,0.48236604333806
"19",3600,19.1294585130131,0.788440274571469,10,0.249326706665438,0.451894962709777
"20",3800,18.4632641524852,0.448298720382451,10,0.141764502854749,0.256942650018958
"21",4000,18.971606789401,0.799831184933305,10,0.252928828802059,0.458423669042023
"22",4200,19.3709475517072,0.6009734545122,10,0.190044492955815,0.344448255086872
"23",4400,20.7720913803933,1.04773586598606,10,0.331323172276488,0.60051036883777
"24",4600,22.8209797959234,1.09159801698088,10,0.345193602298275,0.625649984008939
"25",4800,22.6112506086292,0.474829622797526,10,0.150154310855879,0.27214885084886
"26",5000,20.96390195517,1.92943407801649,10,0.610140628167911,1.10585616800223
