"","Depth","Yearmarker","YEsin","YEweight","YEcount","YE18O","YEcombined","peakid"
"1",0,1,0.54970428003814,0.0227272727272727,0,0,0.091581285962773,0
"2",200,0,0.551738599295742,0,0,0,0.085152420945369,0
"3",400,0,0.555196793537019,0,0,0,0.0862268090946353,0
"4",600,0,0.505880060702209,0,0,0,0.0709051384129193,0
"5",800,0,0.379410738047596,0,0.0714285714285714,0,0.0538051357184095,0
"6",1000,0,0.255237921016578,0,0.0714285714285714,0.0301536896070458,0.0245953721073938,0
"7",1200,0,0.277921346525992,0,0.0714285714285714,0.25,0.099944255344784,0
"8",1400,0,0.577123206609361,0,0.214285714285714,0.586824088833465,0.341926835003717,0
"9",1600,0,0.670569125502344,0,0.642857142857143,0.883022221559489,0.596129159722829,0
"10",1800,0,0.767065666723652,0.0227272727272727,0.642857142857143,1,0.669512021989978,1
"11",2000,1,0.963643835880602,0.318181818181818,0.642857142857143,0.883022221559489,0.786033695045898,0
"12",2200,0,0.823307182655011,0.181818181818182,0.642857142857143,0.586824088833465,0.608046215822755,0
"13",2400,0,0.365057965833477,0,0.571428571428572,0.25,0.282355242632565,0
"14",2600,0,0.102250824227674,0,0.571428571428572,0.0301536896070459,0.132404975860256,0
"15",2800,0,0.0464960155009151,0,0.571428571428572,0,0.105715013963546,0
"16",3000,0,0.0868492329022288,0,0.428571428571429,0,0.0738692022250029,0
"17",3200,0,0.296926012477805,0,0.285714285714286,0,0.0947529282535339,0
"18",3400,0,0.572275205382027,0,0.642857142857143,0,0.291254893054913,0
"19",3600,0,0.830251174758796,0,0.714285714285714,0,0.393593949297481,0
"20",3800,1,0.973102105257836,0.931818181818182,0.714285714285714,0.853553390593274,0.992652088238425,1
"21",4000,0,0.8271721329766,0,0.714285714285714,0.5,0.547976829894185,0
"22",4200,0,0.765333372071446,0,0.714285714285714,0.146446609406726,0.418923233210341,0
"23",4400,0,0.541368683919626,0,0.714285714285714,0,0.303844240913972,0
"24",4600,0,0.131821134689388,0,0.714285714285714,0,0.176606439114976,0
