"D","d18Oc","YEARMARKER","mean.day","mean.GR","year","day_new"
0,-0.24,1,8.69904446353951,0,1,36.5
0.2,-0.67,0,60.1226851820597,0.0109567219522835,1,73
0.4,-0.85,0,70.2563147505195,0.0101293730122817,1,109.5
0.6,-0.96,0,99.8073286528073,0.00734335171342681,1,146
0.8,-1.33,0,121.309346958264,0.00379429329401337,1,182.5
1,-1.5,0,164.716132751573,0.00632994956550303,1,219
1.2,-1.49,0,228.949042827319,0.0034943853864364,1,255.5
1.4,-0.86,0,297.697105269727,0.0116934227086435,1,292
1.6,-0.92,0,301.630292111416,0.00935467563820352,1,328.5
1.8,-1.09,0,324.128459136164,0.0130492609163294,1,365
2,-0.49,1,353.285139588205,0.00569816219403467,2,405.555555555556
2.2,-0.8,0,415.31320787588,0.00463549144052723,2,446.111111111111
2.4,-1.23,0,468.872351128048,0.0047315063576004,2,486.666666666667
2.6,-1.56,0,518.662113009715,0.00610594355875491,2,527.222222222222
2.8,-1.59,0,524.726773638152,0.00726175936639942,2,567.777777777778
3,-1.64,0,580.504105679228,0.00716611584419987,2,608.333333333333
3.2,-1.38,0,613.368314048311,0.00706854283151239,2,648.888888888889
3.4,-1.08,0,650.882760832343,0.00758799303286292,2,689.444444444445
3.6,-0.85,0,681.398025339679,0.00763867636078689,2,730
3.8,-0.55,1,729.657138788359,0.00566704773141146,3,775.625
4,-1.09,0,764.465354010386,0.00656454939989119,3,821.25
4.2,-0.89,0,786.326487077148,0.00720060297090302,3,866.875
4.4,-1.15,0,813.100008592873,0.00767565102905826,3,912.5
4.6,-1.73,0,882.462937404399,0.00387221161312813,3,958.125
4.8,-1.82,0,943.062279285291,0.00345758027413894,3,1003.75
5,-1.27,0,996.722587228181,0.00400218153250823,3,1049.375
5.2,-0.94,0,1020.69838039201,0.00376917309811331,3,1095
5.4,-0.49,1,1111.64366681313,0.00507818699867573,4,1135.55555555556
5.6,-1.08,0,1198.46920853752,0.00152516200220986,4,1176.11111111111
