D,d18Oc,YEARMARKER,D_err,d18Oc_err
20000,-1.888,0,50,0.14
20100,-1.899,0,50,0.14
20200,-1.86,0,50,0.14
20300,-1.539,0,50,0.14
20400,-1.728,0,50,0.14
20500,-1.839,0,50,0.14
20600,-1.903,0,50,0.14
20700,-1.798,0,50,0.14
20800,-1.726,0,50,0.14
20900,-1.683,0,50,0.14
21000,-0.945,0,50,0.14
21100,-0.668,1,50,0.14
21200,-0.797,0,50,0.14
21300,-1.061,0,50,0.14
21400,-1.367,0,50,0.14
21500,-1.744,0,50,0.14
21600,-1.346,0,50,0.14
21700,-1.759,0,50,0.14
21800,-1.756,0,50,0.14
21900,-1.792,0,50,0.14
22000,-1.816,0,50,0.14
22100,-1.856,0,50,0.14
22200,-1.996,0,50,0.14
22300,-1.983,0,50,0.14
22400,-1.957,0,50,0.14
22500,-1.741,0,50,0.14
22600,-1.189,0,50,0.14
22700,-0.686,0,50,0.14
22800,-0.54,1,50,0.14
22900,-0.682,0,50,0.14
23000,-0.952,0,50,0.14
23100,-1.377,0,50,0.14
23200,-1.669,0,50,0.14
23300,-1.594,0,50,0.14
23400,-1.682,0,50,0.14
23500,-1.605,0,50,0.14
23600,-1.73,0,50,0.14
23700,-1.88,0,50,0.14
23800,-1.603,0,50,0.14
23900,-1.752,0,50,0.14
24000,-1.775,0,50,0.14
24100,-1.698,0,50,0.14
24200,-1.389,0,50,0.14
24300,-1.483,0,50,0.14
24400,-1.632,0,50,0.14
24500,-1.717,0,50,0.14
24600,-1.53,0,50,0.14
24700,-1.607,0,50,0.14
24800,-0.853,1,50,0.14
24900,-0.984,0,50,0.14
25000,-1.015,0,50,0.14
25100,-1.051,0,50,0.14
25200,-1.326,0,50,0.14
25300,-1.527,0,50,0.14
25400,-1.633,0,50,0.14
25500,-1.676,0,50,0.14
25600,-1.751,0,50,0.14
25700,-1.751,0,50,0.14
25800,-1.666,0,50,0.14
25900,-1.526,0,50,0.14
26000,-1.437,0,50,0.14
26100,-1.623,0,50,0.14
26200,-1.637,0,50,0.14
26300,-1.561,0,50,0.14
26400,-1.596,0,50,0.14
26500,-1.402,0,50,0.14
26600,-1.137,0,50,0.14
26700,-0.699,0,50,0.14
26800,-0.699,1,50,0.14
26900,-0.845,0,75,0.14
27050,-1.119,0,75,0.14
27200,-1.381,0,75,0.14
27350,-1.572,0,75,0.14
27500,-1.636,0,75,0.14
27650,-1.839,0,75,0.14
27800,-1.642,0,75,0.14
27950,-1.56,0,75,0.14
28100,-1.572,0,75,0.14
28250,-1.565,0,75,0.14
28400,-1.415,0,75,0.14
28550,-1.372,0,75,0.14
28700,-1.13,0,75,0.14
28850,-0.978,0,75,0.14
29000,-0.443,1,75,0.14
29150,-0.534,0,75,0.14
29300,-0.575,0,75,0.14
29450,-0.748,0,75,0.14
29600,-1.034,0,75,0.14
29750,-1.418,0,75,0.14
29900,-1.662,0,75,0.14
30050,-1.719,0,75,0.14
30200,-1.722,0,75,0.14
30350,-2.012,0,75,0.14
30500,-1.654,0,75,0.14
30650,-1.661,0,75,0.14
30800,-1.666,0,75,0.14
30950,-1.671,0,75,0.14
31100,-1.707,0,75,0.14
31250,-1.477,0,75,0.14
31400,-1.459,0,75,0.14
31550,-0.885,0,75,0.14
31700,-0.455,1,75,0.14
31850,-0.523,0,75,0.14
32000,-1.065,0,75,0.14
32150,-1.169,0,75,0.14
32300,-1.272,0,75,0.14
32450,-1.42,0,75,0.14
32600,-1.536,0,75,0.14
