"","parameter","means","stdev","N","se.pars","CL95"
"1","G_amp",63275.7136972281,33559.5068038089,700,1268.43013035512,2089.14671575438
"2","G_av",25461.0204298473,20013.5359859455,700,756.440558197909,1245.88282003371
"3","G_pha",227.455767816198,81.1515781413909,700,3.06724134660779,5.05184876355601
"4","G_skw",48.0871169724519,22.1318349731359,700,0.83650473423485,1.37775118740711
"5","T_amp",8.63353643661481,3.12528112357086,700,0.118124523287615,0.194555028275212
"6","T_av",20.800642155983,2.57379739820421,700,0.0972803977244773,0.160224058503303
"7","T_pha",206.334629302462,100.235489736293,700,3.78854540549998,6.23986059773801
